,0
0,0
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,1
226,0
227,1
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,0
250,0
251,1
252,1
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,1
400,0
401,1
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,0
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,0
473,1
474,1
475,1
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,1
529,0
530,1
531,1
532,0
533,0
534,1
535,0
536,1
537,1
538,0
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,1
550,1
551,0
552,0
553,0
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,0
564,1
565,0
566,1
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,0
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,1
591,1
592,0
593,0
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,0
602,1
603,0
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,0
612,0
613,0
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,1
622,1
623,1
624,0
625,1
626,0
627,1
628,1
629,0
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,0
658,1
659,0
660,1
661,0
662,1
663,0
664,1
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,1
680,1
681,0
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,0
692,1
693,0
694,1
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,1
707,0
708,1
709,1
710,0
711,0
712,1
713,1
714,1
715,0
716,0
717,1
718,1
719,0
720,1
721,1
722,0
723,0
724,0
725,0
726,1
727,0
728,0
729,1
730,1
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,0
739,0
740,1
741,1
742,0
743,1
744,1
745,0
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,0
754,1
755,0
756,1
757,1
758,0
759,0
760,1
761,0
762,0
763,1
764,0
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,0
774,1
775,1
776,0
777,1
778,0
779,0
780,0
781,0
782,1
783,1
784,0
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,0
798,1
799,1
800,0
801,1
802,0
803,0
804,1
805,0
806,1
807,1
808,1
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,1
819,0
820,1
821,0
822,1
823,1
824,0
825,1
826,1
827,0
828,1
829,1
830,0
831,0
832,0
833,1
834,1
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,1
843,1
844,1
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,0
861,1
862,0
863,0
864,1
865,1
866,0
867,1
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,0
879,0
880,1
881,0
882,1
883,0
884,0
885,0
886,0
887,1
888,0
889,0
890,1
891,1
892,1
893,0
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,1
902,0
903,1
904,0
905,1
906,0
907,0
908,1
909,1
910,1
911,0
912,1
913,0
914,1
915,1
916,0
917,0
918,0
919,1
920,0
921,0
922,1
923,0
924,1
925,0
926,1
927,0
928,0
929,0
930,1
931,0
932,0
933,1
934,1
935,1
936,1
937,0
938,0
939,0
940,0
941,0
942,1
943,1
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,1
959,1
960,1
961,1
962,1
963,0
964,0
965,0
966,0
967,1
968,1
969,0
970,0
971,1
972,0
973,1
974,1
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,1
986,0
987,1
988,1
989,0
990,1
991,1
992,0
993,1
994,1
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,0
1010,0
1011,1
1012,1
1013,0
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,1
1021,1
1022,0
1023,1
1024,0
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,0
1037,1
1038,1
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,1
1049,1
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
